std Years = 1981-2010
DOY,   Average Extent,   Std Deviation,      10th,      25th,      50th,      75th,      90th
134,            9.928,           0.506,     9.173,     9.487,    10.063,    10.260,    10.570
135,           10.039,           0.510,     9.281,     9.586,    10.113,    10.385,    10.623
136,           10.147,           0.512,     9.461,     9.657,    10.226,    10.497,    10.715
137,           10.260,           0.513,     9.601,     9.758,    10.340,    10.588,    10.851
138,           10.366,           0.516,     9.675,     9.849,    10.432,    10.738,    10.970
139,           10.470,           0.515,     9.721,     9.934,    10.547,    10.893,    11.063
140,           10.583,           0.510,     9.850,    10.095,    10.690,    11.001,    11.245
141,           10.708,           0.519,     9.974,    10.193,    10.826,    11.122,    11.367
142,           10.809,           0.515,    10.122,    10.306,    10.905,    11.134,    11.457
143,           10.909,           0.514,    10.297,    10.427,    10.973,    11.236,    11.569
144,           11.019,           0.526,    10.380,    10.563,    11.068,    11.379,    11.693
145,           11.119,           0.541,    10.472,    10.656,    11.183,    11.472,    11.835
146,           11.219,           0.558,    10.578,    10.779,    11.280,    11.594,    11.974
147,           11.321,           0.583,    10.683,    10.838,    11.356,    11.744,    12.070
148,           11.422,           0.596,    10.773,    10.978,    11.463,    11.835,    12.243
149,           11.532,           0.602,    10.889,    11.088,    11.565,    11.993,    12.318
150,           11.629,           0.598,    11.004,    11.195,    11.665,    12.026,    12.374
151,           11.732,           0.585,    11.111,    11.351,    11.728,    12.079,    12.463
152,           11.859,           0.543,    11.289,    11.477,    11.813,    12.173,    12.551
153,           11.978,           0.509,    11.420,    11.624,    11.930,    12.259,    12.601
154,           12.077,           0.501,    11.509,    11.716,    12.060,    12.370,    12.732
155,           12.168,           0.504,    11.561,    11.829,    12.129,    12.532,    12.810
156,           12.271,           0.497,    11.644,    11.956,    12.183,    12.622,    12.896
157,           12.383,           0.482,    11.812,    12.083,    12.331,    12.692,    12.965
158,           12.490,           0.487,    11.900,    12.191,    12.546,    12.792,    13.112
159,           12.581,           0.490,    11.961,    12.251,    12.631,    12.889,    13.200
160,           12.690,           0.509,    12.036,    12.284,    12.718,    13.007,    13.376
161,           12.792,           0.520,    12.093,    12.411,    12.803,    13.098,    13.475
162,           12.894,           0.521,    12.183,    12.485,    12.903,    13.239,    13.555
163,           12.987,           0.518,    12.286,    12.612,    12.998,    13.342,    13.669
164,           13.074,           0.518,    12.370,    12.744,    13.045,    13.429,    13.781
165,           13.172,           0.530,    12.512,    12.811,    13.163,    13.499,    13.871
166,           13.279,           0.508,    12.685,    12.974,    13.273,    13.585,    13.934
167,           13.384,           0.495,    12.763,    13.089,    13.364,    13.689,    13.976
168,           13.487,           0.492,    12.837,    13.173,    13.473,    13.784,    14.088
169,           13.597,           0.499,    12.881,    13.295,    13.596,    13.868,    14.224
170,           13.692,           0.483,    13.032,    13.375,    13.708,    14.023,    14.293
171,           13.796,           0.472,    13.209,    13.526,    13.792,    14.165,    14.311
172,           13.898,           0.463,    13.253,    13.668,    13.885,    14.297,    14.368
173,           13.991,           0.465,    13.355,    13.693,    13.964,    14.379,    14.456
174,           14.085,           0.463,    13.404,    13.770,    14.031,    14.457,    14.583
175,           14.186,           0.465,    13.512,    13.880,    14.204,    14.499,    14.743
176,           14.279,           0.465,    13.606,    14.017,    14.277,    14.598,    14.784
177,           14.370,           0.456,    13.695,    14.136,    14.347,    14.672,    14.918
178,           14.448,           0.440,    13.909,    14.195,    14.447,    14.727,    14.979
179,           14.524,           0.429,    14.055,    14.245,    14.545,    14.780,    14.962
180,           14.622,           0.417,    14.186,    14.356,    14.656,    14.800,    15.083
181,           14.709,           0.406,    14.245,    14.489,    14.707,    14.890,    15.106
182,           14.812,           0.399,    14.347,    14.558,    14.826,    15.016,    15.180
183,           14.896,           0.398,    14.456,    14.668,    14.929,    15.110,    15.260
184,           14.966,           0.397,    14.472,    14.765,    14.995,    15.186,    15.369
185,           15.039,           0.397,    14.487,    14.857,    15.076,    15.229,    15.414
186,           15.112,           0.403,    14.600,    14.918,    15.090,    15.365,    15.457
187,           15.187,           0.421,    14.719,    14.987,    15.159,    15.448,    15.568
188,           15.265,           0.420,    14.753,    15.082,    15.264,    15.541,    15.654
189,           15.329,           0.415,    14.868,    15.098,    15.336,    15.633,    15.761
190,           15.395,           0.404,    14.904,    15.183,    15.397,    15.629,    15.895
191,           15.482,           0.406,    15.024,    15.237,    15.447,    15.683,    15.996
192,           15.547,           0.405,    15.096,    15.320,    15.512,    15.754,    16.029
193,           15.652,           0.412,    15.260,    15.381,    15.597,    15.850,    16.137
194,           15.753,           0.416,    15.338,    15.482,    15.727,    15.974,    16.292
195,           15.839,           0.385,    15.419,    15.643,    15.834,    16.067,    16.293
196,           15.909,           0.360,    15.455,    15.759,    15.866,    16.167,    16.284
197,           15.971,           0.357,    15.481,    15.744,    15.951,    16.182,    16.355
198,           16.038,           0.366,    15.585,    15.752,    16.010,    16.283,    16.467
199,           16.084,           0.362,    15.687,    15.775,    16.035,    16.374,    16.529
200,           16.164,           0.362,    15.750,    15.827,    16.143,    16.433,    16.556
201,           16.257,           0.352,    15.894,    15.959,    16.258,    16.460,    16.667
202,           16.345,           0.347,    15.986,    16.043,    16.345,    16.526,    16.757
203,           16.437,           0.331,    16.078,    16.160,    16.431,    16.631,    16.796
204,           16.517,           0.331,    16.165,    16.249,    16.483,    16.774,    16.923
205,           16.591,           0.334,    16.196,    16.367,    16.545,    16.845,    17.026
206,           16.643,           0.331,    16.230,    16.439,    16.642,    16.891,    17.035
207,           16.690,           0.324,    16.286,    16.423,    16.680,    16.895,    17.078
208,           16.746,           0.321,    16.313,    16.487,    16.808,    16.982,    17.112
209,           16.801,           0.334,    16.354,    16.550,    16.884,    17.022,    17.161
210,           16.857,           0.337,    16.335,    16.654,    16.921,    17.083,    17.210
211,           16.929,           0.326,    16.434,    16.749,    16.998,    17.124,    17.263
212,           16.981,           0.331,    16.504,    16.846,    16.985,    17.184,    17.331
213,           17.028,           0.339,    16.572,    16.883,    17.030,    17.269,    17.344
214,           17.083,           0.337,    16.602,    16.995,    17.097,    17.285,    17.419
215,           17.135,           0.337,    16.640,    17.009,    17.142,    17.380,    17.480
216,           17.190,           0.347,    16.679,    17.045,    17.222,    17.350,    17.575
217,           17.236,           0.360,    16.781,    17.110,    17.270,    17.398,    17.672
218,           17.287,           0.375,    16.796,    17.172,    17.324,    17.466,    17.688
219,           17.350,           0.383,    16.880,    17.261,    17.389,    17.540,    17.740
220,           17.421,           0.389,    16.928,    17.290,    17.471,    17.596,    17.784
221,           17.481,           0.401,    17.023,    17.334,    17.508,    17.691,    17.823
222,           17.514,           0.391,    17.132,    17.349,    17.550,    17.718,    17.857
223,           17.547,           0.398,    17.135,    17.339,    17.585,    17.736,    17.910
224,           17.593,           0.398,    17.177,    17.393,    17.574,    17.781,    18.010
225,           17.642,           0.404,    17.163,    17.463,    17.590,    17.866,    18.052
226,           17.683,           0.401,    17.198,    17.491,    17.677,    17.918,    18.104
227,           17.738,           0.393,    17.335,    17.524,    17.721,    17.931,    18.111
228,           17.782,           0.375,    17.418,    17.575,    17.811,    17.960,    18.064
229,           17.827,           0.384,    17.451,    17.621,    17.858,    18.016,    18.231
230,           17.845,           0.372,    17.397,    17.664,    17.864,    18.008,    18.320
231,           17.867,           0.363,    17.443,    17.644,    17.839,    18.063,    18.305
232,           17.888,           0.344,    17.482,    17.636,    17.847,    18.068,    18.309
233,           17.924,           0.345,    17.575,    17.675,    17.919,    18.086,    18.392
234,           17.964,           0.336,    17.590,    17.719,    17.958,    18.136,    18.365
235,           17.983,           0.324,    17.640,    17.749,    17.967,    18.128,    18.355
236,           18.018,           0.341,    17.673,    17.787,    17.990,    18.249,    18.362
237,           18.053,           0.351,    17.681,    17.820,    18.014,    18.314,    18.386
238,           18.105,           0.346,    17.761,    17.877,    18.067,    18.390,    18.466
239,           18.145,           0.340,    17.783,    17.939,    18.127,    18.386,    18.542
240,           18.159,           0.346,    17.733,    17.936,    18.124,    18.368,    18.575
241,           18.195,           0.352,    17.791,    17.955,    18.165,    18.429,    18.615
242,           18.222,           0.353,    17.829,    17.955,    18.207,    18.448,    18.654
243,           18.241,           0.343,    17.855,    18.018,    18.194,    18.476,    18.648
244,           18.264,           0.349,    17.902,    18.041,    18.203,    18.481,    18.731
245,           18.288,           0.361,    17.839,    18.056,    18.247,    18.536,    18.747
246,           18.308,           0.381,    17.839,    18.008,    18.317,    18.547,    18.737
247,           18.333,           0.372,    17.847,    18.038,    18.368,    18.576,    18.784
248,           18.352,           0.374,    17.881,    18.057,    18.414,    18.613,    18.843
249,           18.373,           0.381,    17.917,    18.081,    18.451,    18.634,    18.823
250,           18.397,           0.372,    17.969,    18.122,    18.451,    18.667,    18.836
251,           18.416,           0.371,    17.987,    18.120,    18.427,    18.683,    18.832
252,           18.445,           0.362,    18.070,    18.145,    18.411,    18.714,    18.890
253,           18.470,           0.359,    18.069,    18.175,    18.425,    18.763,    18.908
254,           18.490,           0.358,    18.102,    18.223,    18.439,    18.809,    18.907
255,           18.502,           0.351,    18.151,    18.233,    18.473,    18.857,    18.916
256,           18.521,           0.337,    18.112,    18.295,    18.514,    18.829,    18.923
257,           18.522,           0.335,    18.133,    18.295,    18.526,    18.807,    18.884
258,           18.529,           0.346,    18.132,    18.262,    18.539,    18.781,    18.903
259,           18.533,           0.343,    18.137,    18.284,    18.527,    18.747,    18.912
260,           18.546,           0.340,    18.140,    18.276,    18.516,    18.763,    18.900
261,           18.565,           0.341,    18.133,    18.296,    18.596,    18.811,    18.921
262,           18.567,           0.354,    18.077,    18.359,    18.641,    18.785,    18.950
263,           18.572,           0.373,    18.117,    18.345,    18.593,    18.807,    19.000
264,           18.574,           0.388,    18.078,    18.317,    18.576,    18.780,    19.048
265,           18.576,           0.391,    18.067,    18.299,    18.561,    18.799,    19.059
266,           18.569,           0.401,    18.049,    18.315,    18.563,    18.814,    19.061
267,           18.570,           0.420,    18.009,    18.304,    18.578,    18.826,    19.069
268,           18.571,           0.423,    17.996,    18.298,    18.598,    18.850,    19.120
269,           18.566,           0.417,    18.040,    18.315,    18.598,    18.814,    19.111
270,           18.552,           0.417,    18.004,    18.349,    18.584,    18.795,    19.076
271,           18.541,           0.426,    17.975,    18.330,    18.539,    18.795,    19.087
272,           18.525,           0.432,    17.934,    18.350,    18.508,    18.847,    19.088
273,           18.525,           0.431,    17.932,    18.352,    18.548,    18.880,    19.065
274,           18.508,           0.412,    17.918,    18.318,    18.557,    18.846,    19.014
275,           18.508,           0.408,    17.916,    18.292,    18.548,    18.861,    18.993
276,           18.504,           0.397,    17.955,    18.209,    18.527,    18.822,    18.944
277,           18.476,           0.404,    17.914,    18.170,    18.496,    18.793,    18.970
278,           18.448,           0.390,    17.984,    18.145,    18.456,    18.770,    18.942
279,           18.440,           0.384,    18.011,    18.110,    18.434,    18.695,    18.962
280,           18.425,           0.382,    18.000,    18.098,    18.452,    18.687,    18.903
281,           18.394,           0.377,    17.954,    18.086,    18.404,    18.658,    18.899
282,           18.361,           0.377,    17.919,    18.126,    18.361,    18.652,    18.817
283,           18.329,           0.374,    17.933,    18.076,    18.322,    18.609,    18.814
284,           18.299,           0.372,    17.891,    18.067,    18.269,    18.561,    18.773
285,           18.287,           0.365,    17.924,    18.073,    18.249,    18.561,    18.727
286,           18.265,           0.362,    17.849,    18.053,    18.249,    18.543,    18.730
287,           18.235,           0.364,    17.852,    18.073,    18.188,    18.485,    18.750
288,           18.224,           0.362,    17.839,    18.062,    18.194,    18.460,    18.678
289,           18.193,           0.352,    17.819,    18.034,    18.144,    18.448,    18.716
290,           18.158,           0.359,    17.786,    17.997,    18.111,    18.417,    18.668
291,           18.116,           0.363,    17.722,    17.972,    18.078,    18.402,    18.605
292,           18.062,           0.366,    17.653,    17.934,    18.034,    18.289,    18.603
293,           18.012,           0.369,    17.571,    17.857,    18.024,    18.206,    18.508
294,           17.970,           0.357,    17.573,    17.807,    17.974,    18.196,    18.437
295,           17.921,           0.366,    17.471,    17.729,    17.901,    18.132,    18.386
296,           17.872,           0.361,    17.445,    17.673,    17.865,    18.061,    18.367
297,           17.833,           0.364,    17.430,    17.616,    17.850,    18.043,    18.340
298,           17.791,           0.356,    17.434,    17.596,    17.758,    18.016,    18.314
299,           17.736,           0.354,    17.346,    17.520,    17.689,    17.998,    18.273
300,           17.681,           0.366,    17.315,    17.435,    17.649,    17.956,    18.179
301,           17.633,           0.377,    17.236,    17.375,    17.633,    17.966,    18.108
302,           17.555,           0.387,    17.115,    17.317,    17.540,    17.926,    18.045
303,           17.509,           0.371,    17.090,    17.236,    17.473,    17.816,    17.952
304,           17.449,           0.377,    17.063,    17.153,    17.391,    17.781,    17.892
